,from,to,round,duration,packets_per_ms,bytes_s,bytes_r,packets_s,packets_r,senders,receivers
155,42,43,3,8,4,44794400,44657200,31996,31898,1,1
156,42,43,4,8,5,55993000,55587000,39995,39705,1,1
157,42,43,5,8,6,67191600,66803800,47994,47717,1,1
158,42,43,6,8,7,78390200,78324400,55993,55946,1,1
159,42,43,7,8,8,89588800,89549600,63992,63964,1,1
160,44,45,0,8,1,11198600,11198600,7999,7999,1,1
161,44,45,1,8,2,22397200,22373400,15998,15981,1,1
162,44,45,2,8,3,33595800,33577600,23997,23984,1,1
163,44,45,3,8,4,44794400,44553600,31996,31824,1,1
164,44,45,4,8,5,55993000,55707400,39995,39791,1,1
165,44,45,5,8,6,67191600,66924200,47994,47803,1,1
166,44,45,6,8,7,78390200,78050000,55993,55750,1,1
167,44,45,7,8,8,89588800,89577600,63992,63984,1,1
168,46,47,0,8,1,11198600,11198600,7999,7999,1,1
169,46,47,1,8,2,22397200,22397200,15998,15998,1,1
170,46,47,2,8,3,33595800,33595800,23997,23997,1,1
171,46,47,3,8,4,44794400,44772000,31996,31980,1,1
172,46,47,4,8,5,55993000,55921600,39995,39944,1,1
173,46,47,5,8,6,67191600,66967600,47994,47834,1,1
174,46,47,6,8,7,78390200,78237600,55993,55884,1,1
175,46,47,7,8,8,89588800,89388600,63992,63849,1,1
176,48,49,0,8,1,11198600,11198600,7999,7999,1,1
177,48,49,1,8,2,22397200,22397200,15998,15998,1,1
178,48,49,2,8,3,33595800,33591600,23997,23994,1,1
179,48,49,3,8,4,44795800,44795800,31997,31997,1,1
180,48,49,4,8,5,55994400,55994400,39996,39996,1,1
181,48,49,5,8,6,67191600,67187400,47994,47991,1,1
182,48,49,6,8,7,78390200,36318800,55993,25942,1,1
183,48,49,7,8,8,89588800,89577600,63992,63984,1,1
184,50,51,0,8,1,11198600,11198600,7999,7999,1,1
185,50,51,1,8,2,22397200,22397200,15998,15998,1,1
186,50,51,2,8,3,33595800,33539800,23997,23957,1,1
187,50,51,3,8,4,44794400,44662800,31996,31902,1,1
188,50,51,4,8,5,55993000,55953800,39995,39967,1,1
189,50,51,5,8,6,67191600,67191600,47994,47994,1,1
190,50,51,6,8,7,78390200,78324400,55993,55946,1,1
191,50,51,7,8,8,89588800,89560800,63992,63972,1,1
192,52,53,0,8,1,11198600,11198600,7999,7999,1,1
193,52,53,1,8,2,22397200,22397200,15998,15998,1,1
194,52,53,2,8,3,33595800,33595800,23997,23997,1,1
195,52,53,3,8,4,44794400,44794400,31996,31996,1,1
196,52,53,4,8,5,55993000,55993000,39995,39995,1,1
197,52,53,5,8,6,67191600,67191600,47994,47994,1,1
198,52,53,6,8,7,78390200,78383200,55993,55988,1,1
199,52,53,7,8,8,89588800,89518800,63992,63942,1,1
200,54,55,0,8,1,11198600,11198600,7999,7999,1,1
201,54,55,1,8,2,22397200,22397200,15998,15998,1,1
